ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,Unnamed: 20,Unnamed: 21
B082S8SFYH,($) Cimkiz,($) Baby Socks Winter Thick Warm Wool Socks for Toddler Girls Boys Fuzzy Cute Socks 5 Pairs,"($) Clothing, Shoes & Jewelry",($) LanErRun,,,14.99,0.0,,,"144,514",5.0,7,,,,,,12/15/2019,,
B01C8YRCYC,($) Beco Baby Carrier,"($) Beco Gemini Baby Carrier - Cool Mesh Navy, Sleek and Simple 5-in-1 All Position Backpack Style Sling for Holding Babies, Infants and Child from 7-35 lbs Certified Ergonomic",($) Baby,($) Boba Inc. (USA),1.0,FBA,78.82,17.0,448,"35,311.36","4,021",4.5,791,109.0,9.1x13.2x3.8,1.6,Large Standard-Size,9.0,,,
B073SK41K4,($) Oliver and Olivia Apparel,"($) Oliver and Olivia Apparel 2nd Birthday Shirt, 2T, Heather Gray","($) Clothing, Shoes & Jewelry",($) Oliver and Olivia Apparel,1.0,FBA,14.98,6.0,680,"10,186.40","12,412",4.5,198,21.0,3.9x6.1x0.8,0.1,Large Standard-Size,2.0,,,
1786814951,Visit Amazon's Colleen Coleman Page,For Once in My Life: An absolutely perfect laugh out loud romantic comedy,Books,Amazon,14.0,AMZ,9.99,5.93,171,"1,708.29","54,427",4.0,415,16.0,5.0x7.7x0.6,0.66,Small Standard-Size,2.0,,,
B01MZ14LJV,Kitchen Gizmo,Kitchen Gizmo Snap N Strain Strainer - Gray | Patented Clip On Silicone Colander | Fits all Pots and Bowls,Kitchen & Dining,Home N' Goods,2.0,FBA,16.99,7.02,"8,904","151,278.96",533,4.5,"1,217",239.0,4.6x9.2x2.9,0.5,Large Standard-Size,5.0,12/18/2016,,
1797209469,Visit Amazon's John Lithgow Page,Trumpty Dumpty Wanted a Crown: Verses for a Despotic Age,Books,Amazon,1.0,AMZ,20.66,7.0,"1,300","26,858.00",220,0.0,0,0.0,6.3x8.3x0.7,0.68,Small Standard-Size,4.0,,,
B07B89ZBZC,Visit Amazon's David Baldacci Page,Long Road to Mercy (An Atlee Pine Thriller Book 1),Kindle Store,,1.0,,9.99,0.0,,,"1,667",4.5,"5,194",0.0,,,,1.0,,,
B01K1JVZOE,Kasa Smart,"Kasa Smart Plug by TP-Link, Smart Home WiFi Outlet works with Alexa, Echo,Google Home & IFTTT,No Hub Required, Remote Control, 15 Amp, UL certified, 1-Pack (HS105)",Tools & Home Improvement,USA Supply Source,25.0,FBA,14.99,5.0,"1,164","17,448.36","3,011",4.5,"10,472",1425.0,3.6x5.7x3.5,0.45,Large Standard-Size,9.0,08/09/2016,,
B07MNHHXNC,Bali,Bali Women's One Smooth U Ultra Light Illusion Neckline Underwire Bra,"Clothing, Shoes & Jewelry",Amazon,7.0,AMZ,18.95,6.0,"4,872","92,324.40",803,4.5,"6,565",1284.0,5.7x6.8x1.6,0.2,Large Standard-Size,4.0,08/08/2005,,
B083HLD5FT,Visit Amazon's Marian Keyes Page,Grown Ups,Kindle Store,,,,12.99,0.0,,,"11,702",4.5,"2,166",0.0,,,,1.0,,,
B089DGZ7YD,Venture Pal,"Venture Pal Large Half Gallon/64oz Motivational Water Bottle with Time Marker & Straw,Leakproof Tritan BPA Free Water Jug,Ensure You Drink Enough Water Daily for Fitness,Gym and Outdoor Sports",Sports & Outdoors,CXCM Direct,1.0,FBA,13.59,5.0,"2,736","37,182.24",349,5.0,601,345.0,6.4x10.3x6.1,0.65,Large Standard-Size,7.0,07/04/2020,,
B07KFJRT47,($) Alex & Kate,"($) Lulla Bear Shusher by Alex & Kate - Mom’s Heartbeat Sound, White Noise, and Lullabies - Portable Toddler Sleep Aid Toy, Baby Sleep Soothing Sounds for Newborn Crib to Comfort, Gender Neutral",($) Baby,($) Alex & Kate,1.0,FBA,39.0,11.65,275,"10,725.00","6,163",4.5,215,26.0,7.3x11.0x5.4,1.2,Large Standard-Size,9.0,,,
